Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,baseline_price,competitor_price,Driver_to_Rider_Ratio,Rider_Driver_Ratio,Inventory_Health_Index,Cost_per_Min,Loyalty_Score,Supply_Tightness,Vehicle_Factor,Peak,p_complete,price
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,669.2986264658781,702.7635577891721,0.19767441630611143,5.0588232318339275,0.19540229885057472,4.007776182383844,0.9899999901000002,5.0588232318339275,1.0,0,0.19767441630611143,1007.8849705258903
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,414.9901047325251,435.73960996915133,0.633333322777778,1.5789473268698073,0.6229508196721312,2.8818757072961763,0.1499999985,1.5789473268698073,1.5,1,0.633333322777778,720.7722845805138
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,490.41072171830416,514.9312578042194,0.333333319444445,2.999999625000047,0.32,2.9903092605365544,0.4999999950000001,2.999999625000047,1.0,0,0.333333319444445,637.5339198433957
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,296.24287599192223,311.05501979151836,0.6666666481481487,1.4999999375000026,0.6486486486486487,3.5691912340088074,0.8799999912000002,1.4999999375000026,1.5,1,0.6666666481481487,511.018958308789
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,327.0888648717375,343.4433081153244,0.20634920307382218,4.84615347337281,0.203125,3.2067535457351366,0.7399999926,4.84615347337281,1.5,0,0.20634920307382218,728.4017230975672
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,445.1368684239125,467.39371184510816,0.3076922998027616,3.2499997291666896,0.3,3.179549037459739,0.299999997,3.2499997291666896,1.5,0,0.3076922998027616,884.7095079088425
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,244.5361718306458,256.7629804221781,0.7368420858725767,1.3571428086734711,0.717948717948718,4.528447542633301,0.3499999965,1.3571428086734711,1.5,0,0.7368420858725767,416.5848338050439
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,47.31430863361691,49.68002406529776,0.3043478194706996,3.2857140510204252,0.2978723404255319,3.1542870319553256,0.2099999979,3.2857140510204252,1.0,0,0.3043478194706996,62.860437502796124
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,129.8082629093964,136.29867605486623,0.21212120569329682,4.7142850408164225,0.20588235294117646,5.900375318591867,0.4899999951000001,4.7142850408164225,1.5,1,0.21212120569329682,286.5053671653145
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,382.9481103198511,402.0955158358436,0.22580644432882438,4.428570795918458,0.21875,4.401702366875273,0.23999999760000004,4.428570795918458,1.5,1,0.22580644432882438,828.8090881369745
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,82.77279318243978,86.91143284156178,0.46874999511718757,2.1333332859259273,0.4639175257731959,7.52479869614919,0.05999999940000001,2.1333332859259273,1.5,0,0.46874999511718757,150.6464830034339
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,64.07117255500656,67.27473118275688,0.49999997727272827,1.9999998181818348,0.4782608695652174,4.271411218906356,0.7899999921,1.9999998181818348,1.0,1,0.49999997727272827,76.88540590107756
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,390.6687658288554,410.2022041202982,0.21621621329437551,4.624999710937518,0.21333333333333335,2.8105666404193435,0.05999999940000001,4.624999710937518,1.0,0,0.21621621329437551,571.3530587319327
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375452,212.16652497375452,222.77485122244227,0.4999999791666675,1.9999998333333473,0.48,4.714811561309844,0.099999999,1.9999998333333473,1.5,1,0.4999999791666675,381.89973964859547
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,235.65813370551408,247.4410403907898,0.39583332508680574,2.526315656509702,0.3877551020408163,3.625509693538529,0.7199999928,2.526315656509702,1.5,1,0.39583332508680574,442.7892254728856
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,406.5574980533908,426.8853729560604,0.23214285299744905,4.307691976331387,0.22807017543859648,2.5096141700233128,0.3599999964,4.307691976331387,1.0,1,0.23214285299744905,581.6899452815863
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,182.4744270596517,191.5981484126343,0.4583333269675927,2.1818181157024816,0.4520547945205479,6.082480699239033,0.6599999934,2.1818181157024816,1.5,0,0.4583333269675927,333.43054218115446
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,652.617297300081,685.2481621650851,0.7731958683175684,1.2933333160888891,0.7653061224489796,4.130489197275898,0.7599999924,1.2933333160888891,1.0,1,0.7731958683175684,737.0224666254892
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,403.22709836941993,423.38845328789097,0.5322580559313217,1.8787878218549146,0.5238095238095238,3.12579143599712,0.3899999961,1.8787878218549146,1.5,1,0.5322580559313217,718.4773718328839
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,537.7848594528473,564.6741024254897,0.6666666549707605,1.499999960526317,0.6551724137931034,4.105227903416942,0.5399999946,1.499999960526317,1.5,1,0.6666666549707605,927.6788793719093
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,286.13145256368455,300.4380251918688,0.27999998880000043,3.571428061224563,0.2692307692307692,3.5324870250765126,0.1299999987,3.571428061224563,1.5,0,0.27999998880000043,582.48186367826
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,485.0546633356366,509.30739650241844,0.7466666567111113,1.3392856903698984,0.7368421052631579,3.1702918965055207,0.9399999906000002,1.3392856903698984,1.5,1,0.7466666567111113,825.0260104513459
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,171.0859835160851,179.64028269188935,0.2307692248520712,4.333332851851906,0.225,3.5642912489957053,0.3899999961,4.333332851851906,1.5,0,0.2307692248520712,367.8348522033744
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,485.8784537318511,510.17237641844366,0.6857142661224496,1.458333272569447,0.6666666666666666,4.627413800994641,0.7299999927,1.458333272569447,1.5,1,0.6857142661224496,835.1035879230396
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,294.7328864777875,309.46953080167685,0.47058822837370257,2.1249999335937524,0.463768115942029,3.827699774676464,0.3399999966,2.1249999335937524,1.0,0,0.47058822837370257,357.3636228971068
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,392.83872040801793,412.48065642841885,0.4479166620008681,2.2325580876149282,0.44329896907216493,4.316908968034165,0.9699999903000002,2.2325580876149282,1.5,0,0.4479166620008681,720.8133699683099
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,456.1809467866996,478.9899941260346,0.3928571288265311,2.545454314049608,0.3793103448275862,4.852988743975648,0.5199999948,2.545454314049608,1.5,0,0.3928571288265311,858.4495840278655
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,502.5293207873477,527.655786826715,0.599999976000001,1.666666555555563,0.5769230769230769,4.97553778031495,0.6499999935,1.666666555555563,1.5,1,0.599999976000001,879.4263030023703
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,244.21766165291973,256.4285447355657,0.21428570663265334,4.6666658888890185,0.20689655172413793,2.744018639425855,0.0199999998,4.6666658888890185,1.0,0,0.21428570663265334,358.18588476291177
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,634.7265312250814,666.4628577863356,0.23287670913867523,4.294117394463682,0.22972972972972974,3.733685455831741,0.1399999986,4.294117394463682,1.5,1,0.23287670913867523,1360.9283326068048
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,345.40676830595487,362.67710672125264,0.4999999861111115,1.999999888888895,0.4864864864864865,3.7544213538210167,0.8799999912000002,1.999999888888895,1.5,1,0.4999999861111115,621.7321771939396
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,151.15212964816465,158.70973613057288,0.17857142538265314,5.599999440000056,0.17543859649122806,3.3589361397606337,0.5499999945,5.599999440000056,1.0,1,0.17857142538265314,235.79731378661845
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,530.7599938912294,557.2979935857909,0.8350515377829738,1.1975308494131993,0.826530612244898,4.246079917161197,0.5199999948,1.1975308494131993,1.0,1,0.8350515377829738,594.3201405231404
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,482.85016419959805,506.992672409578,0.1428571405895692,6.999999222222309,0.140625,2.908735911390736,0.8899999911000002,6.999999222222309,1.5,0,0.1428571405895692,1231.2678623764623
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,355.9595074862448,373.75748286055705,0.42307691765286004,2.3636362920110217,0.4177215189873418,3.068616417393348,0.3499999965,2.3636362920110217,1.5,0,0.42307691765286004,660.1430827864957
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,303.9609626071891,319.1590107375486,0.3448275743162905,2.899999710000029,0.3333333333333333,3.340230321614932,0.24999999750000004,2.899999710000029,1.0,0,0.3448275743162905,392.10963294840695
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,514.8771742414517,540.6210329535244,0.4520547883280166,2.212121145087238,0.44594594594594594,3.1979948512015954,0.599999994,2.212121145087238,1.5,1,0.4520547883280166,943.1613640015198
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,361.13235495172165,379.1889726993077,0.3085106350158443,3.241379198573131,0.30526315789473685,3.761795324895066,0.6699999933,3.241379198573131,1.5,1,0.3085106350158443,717.2835679184184
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,80.26246462184758,84.27558785293996,0.5185185089163239,1.92857135969388,0.509090909090909,2.5082019410514267,0.8299999917,1.92857135969388,1.0,1,0.5185185089163239,95.74165367466144
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,420.6239113101238,441.65510687563,0.08955223746936959,11.166664805555865,0.08823529411764706,3.419706568214774,0.1499999985,11.166664805555865,1.0,1,0.08955223746936959,890.320533990325
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,520.8926706123274,546.9373041429437,0.34782607183364905,2.8749996406250453,0.3333333333333333,4.452074069745755,0.2699999973,2.8749996406250453,1.0,0,0.34782607183364905,670.6492946937934
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,183.07579104191225,192.22958059400787,0.19999999714285718,4.999999642857168,0.19718309859154928,3.4542601431632476,0.1599999984,4.999999642857168,1.0,0,0.19999999714285718,274.6136800244478
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,190.13746358777752,199.6443367671664,0.4999999750000012,1.99999980000002,0.47619047619047616,2.9251917025013205,0.699999993,1.99999980000002,1.0,1,0.4999999750000012,228.16495250258416
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,522.3021028701461,548.4172080136534,0.8842105170083103,1.1309523674886623,0.875,4.663411591131558,0.1799999982,1.1309523674886623,1.5,0,0.8842105170083103,872.057974273014
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,410.6863449474928,431.22066219486743,0.37209301460248806,2.68749983203126,0.36363636363636365,3.8743994440857863,0.399999996,2.68749983203126,1.5,1,0.37209301460248806,781.5874398808271
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,584.9958711291002,614.2456646855553,0.5670103034328835,1.7636363315702486,0.5612244897959183,3.8999724481941853,0.9399999906000002,1.7636363315702486,1.5,1,0.5670103034328835,1032.2518025149307
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,301.62262644973293,316.7037577722196,0.6249999804687506,1.599999920000004,0.6060606060606061,4.43562679432509,0.4399999956000001,1.599999920000004,1.0,1,0.6249999804687506,349.8822442687093
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,413.5870840445325,434.26643824675915,0.26315789196675904,3.799999848000006,0.2604166666666667,3.2311490688545583,0.7199999928,3.799999848000006,1.5,0,0.26315789196675904,856.1252545423971
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,273.11810461931896,286.7740098502849,0.31914892937981004,3.1333331244444587,0.3125,3.0687427140514187,0.1399999986,3.1333331244444587,1.0,1,0.31914892937981004,358.6951050282389
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,247.1745626508575,259.5332907834004,0.4399999824000007,2.2727270661157215,0.4230769230769231,2.6295165959717117,0.3299999967,2.2727270661157215,1.0,1,0.4399999824000007,303.35059451004946
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,213.4432507972432,224.11541333710537,0.5945945785244708,1.6818181053719041,0.5789473684210527,3.093380401505258,0.7599999924,1.6818181053719041,1.0,0,0.5945945785244708,249.34052316326716
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,295.79438015283176,310.5840991604734,0.6610169379488655,1.5128204740302444,0.65,3.0183099707604266,0.4899999951000001,1.5128204740302444,1.5,0,0.6610169379488655,510.81413938899107
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,145.0698091748401,152.3232996335821,0.476190464852608,2.099999895000005,0.46511627906976744,5.002407040428726,0.8799999912000002,2.099999895000005,1.5,1,0.476190464852608,263.3017013674854
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,297.0186264188845,311.86955773982874,0.2075471658953365,4.8181813801653295,0.2037037037037037,3.666896577185036,0.0199999998,4.8181813801653295,1.5,0,0.2075471658953365,660.1913819343895
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,666.6870291344428,700.021380591165,0.8101265720237143,1.234374980712891,0.8,4.0651647870077925,0.9099999909000002,1.234374980712891,1.0,1,0.8101265720237143,748.9812080073791
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,449.5456339145253,472.0229156102516,0.38983050186727963,2.5652172797731616,0.38333333333333336,4.940061856862235,0.4099999959,2.5652172797731616,1.5,1,0.38983050186727963,847.295785096406
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,624.9860100296204,656.2353105311014,0.7249999818750005,1.379310297265162,0.7073170731707317,4.251605481483095,0.7199999928,1.379310297265162,1.0,0,0.7249999818750005,711.1909739576727
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,96.03520851587072,100.83696894166427,0.5263157825484766,1.8999999525000013,0.5194805194805194,3.4298287530729272,0.7699999923,1.8999999525000013,1.0,0,0.5263157825484766,114.28189767771894
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,637.7593915947267,669.6473611744631,0.6341463259964311,1.5769230162721917,0.6190476190476191,3.7737241882899557,0.9599999904000002,1.5769230162721917,1.0,1,0.6341463259964311,738.3291379396741
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,295.5887110300315,310.3681465815331,0.16867469676295546,5.9285710051020715,0.16666666666666666,4.618573537679031,0.799999992,5.9285710051020715,1.5,1,0.16867469676295546,706.2458657922682
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,353.33854512223814,371.0054723783501,0.38636362758264486,2.588235141868521,0.37777777777777777,3.6054953215994168,0.1499999985,2.588235141868521,1.0,1,0.38636362758264486,444.7908690684455
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,62.25429041832141,65.36700493923749,0.8021977933824419,1.2465753253893792,0.7934782608695652,4.150285751202378,0.6099999939,1.2465753253893792,1.0,1,0.8021977933824419,70.0147566518318
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,266.0685899337195,279.3720194304055,0.29629629080932796,3.374999789062513,0.2909090909090909,3.9711729248141285,0.0799999992,3.374999789062513,1.5,0,0.29629629080932796,533.8001001359489
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,340.1282671016029,357.13468045668304,0.6271186334386673,1.5945945514974447,0.6166666666666667,3.580297510750583,0.8599999914,1.5945945514974447,1.5,1,0.6271186334386673,591.547402881977
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,443.258155352454,465.4210631200767,0.5972222139274693,1.6744185657111963,0.589041095890411,3.3580163029881644,0.2799999972,1.6744185657111963,1.0,0,0.5972222139274693,517.4781238249586
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,265.05527443495566,278.30803815670345,0.19148935762788602,5.2222216419753735,0.1875,2.7609924132704506,0.4899999951000001,5.2222216419753735,1.0,1,0.19148935762788602,403.47301348235044
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,221.4343854791753,232.50610475313405,0.6874999785156257,1.454545388429755,0.6666666666666666,3.6905730298100377,0.4899999951000001,1.454545388429755,1.0,1,0.6874999785156257,253.6430219030264
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,393.2308288248255,412.8923702660668,0.28888888246913597,3.461538195266293,0.2826086956521739,3.5109895117306786,0.9599999904000002,3.461538195266293,1.0,1,0.28888888246913597,529.3491821781611
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,151.58040412487964,159.15942433112363,0.6249999913194446,1.5999999644444454,0.6164383561643836,3.789510008384241,0.8199999918,1.5999999644444454,1.5,1,0.6249999913194446,263.74990236886174
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,313.9950046053331,329.6947548355998,0.2678571380739797,3.733333084444461,0.2631578947368421,4.025576930509695,0.3399999966,3.733333084444461,1.5,1,0.2678571380739797,646.8296977645068
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,366.1515260551269,384.4591023578833,0.5238095113378688,1.9090908223140535,0.5116279069767442,4.465262458412981,0.6699999933,1.9090908223140535,1.5,0,0.5238095113378688,654.0797667779095
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,425.97356882411634,447.27224726532216,0.2692307640532545,3.714285448979611,0.2641509433962264,4.346669025280074,0.8699999913000002,3.714285448979611,1.5,0,0.2692307640532545,876.2884674861739
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,359.0531279855558,377.00578438483365,0.2839506137783875,3.5217389773156964,0.2804878048780488,2.510861017305558,0.3899999961,3.5217389773156964,1.0,1,0.2839506137783875,485.5022675609411
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,260.34417984860374,273.36138884103394,0.3246753204587621,3.079999876800005,0.32051282051282054,5.00661874696125,0.699999993,3.079999876800005,1.5,0,0.3246753204587621,510.79527605180033
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,320.30170917475425,336.31679463349195,0.22222221399176983,4.4999992500001245,0.21428571428571427,3.7244384354687887,0.0199999998,4.4999992500001245,1.0,1,0.22222221399176983,464.43745428076943
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,454.49212153190336,477.21672760849856,0.45945945325054793,2.1764705242214553,0.4533333333333333,3.2463722734680793,0.1799999982,2.1764705242214553,1.5,0,0.45945945325054793,830.1164881986147
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,45.11502370436019,47.3707748895782,0.7499999918478262,1.3333333140096622,0.7419354838709677,2.506390066553896,0.8799999912000002,1.3333333140096622,1.0,0,0.7499999918478262,51.13036011109609
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,223.6621142931812,234.84522000784025,0.4415584358239164,2.264705815743947,0.4358974358974359,4.659627284032373,0.3299999967,2.264705815743947,1.5,1,0.4415584358239164,411.4725050899751
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,173.1577542620492,181.81564197515166,0.09090908953168046,10.999998166666971,0.08955223880597014,3.8479500092022043,0.22999999770000004,10.999998166666971,1.0,1,0.09090908953168046,363.63125220472034
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,592.240499627505,621.8525246088802,0.5064934999156688,1.9743589237343866,0.5,3.5463502759350582,0.22999999770000004,1.9743589237343866,1.0,0,0.5064934999156688,709.1700311711526
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,379.3078104185831,398.27320093951226,0.4571428440816331,2.1874998632812583,0.4444444444444444,3.356706257184751,0.3099999969,2.1874998632812583,1.5,0,0.4571428440816331,693.4220831426993
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,360.7111703191874,378.74672883514677,0.7916666501736115,1.2631578614958459,0.7755102040816326,4.508889572628723,0.399999996,1.2631578614958459,1.5,1,0.7916666501736115,609.4120280564882
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,203.49261837786293,213.66724929675607,0.29508196237570555,3.388888700617294,0.2903225806451613,3.508493359816717,0.8399999916,3.388888700617294,1.5,1,0.29508196237570555,408.6810028287594
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,553.5451307734787,581.2223873121527,0.2957746437214839,3.380952219954656,0.2916666666666667,4.393215288732249,0.8199999918,3.380952219954656,1.5,0,0.2957746437214839,1111.0441419702706
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,283.46644254307614,297.63976467022997,0.07368420975069254,13.571426632653338,0.07291666666666667,2.9838572585180936,0.399999996,13.571426632653338,1.0,1,0.07368420975069254,668.1708453223363
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,435.14534513079855,456.9026123873385,0.5789473608033242,1.72727268801653,0.5714285714285714,4.144241342729116,0.199999998,1.72727268801653,1.5,0,0.5789473608033242,765.4602181904911
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,685.7681264991488,720.0565328241063,0.4062499873046879,2.461538272189364,0.3939393939393939,4.395949500661534,0.2099999979,2.461538272189364,1.0,0,0.4062499873046879,854.5725754216741
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,630.8608868741742,662.4039312178829,0.6122448854643902,1.6333332788888906,0.6,4.0964992388160715,0.5699999943,1.6333332788888906,1.0,1,0.6122448854643902,733.901494962269
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,546.1568747653598,573.4647185036279,0.4473684092797787,2.235293986159177,0.4358974358974359,3.957658484113778,0.9199999908000002,2.235293986159177,1.5,0,0.4473684092797787,1002.3584887974148
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,115.35700254441711,121.12485267163798,0.380434778473535,2.62857135346939,0.3763440860215054,2.5634888884650717,0.4599999954000001,2.62857135346939,1.0,0,0.380434778473535,145.67941377545216
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,404.0498951423794,424.2523898994984,0.7249999818750005,1.379310297265162,0.7073170731707317,2.65822297686945,0.2599999974,1.379310297265162,1.0,1,0.7249999818750005,459.78091324025866
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,156.03832988580584,163.84024638009615,0.7636363497520664,1.309523778344672,0.75,3.4675183648508328,0.23999999760000004,1.309523778344672,1.0,0,0.7636363497520664,176.4719202176711
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,501.26295506529306,526.3261028185577,0.5862068864447089,1.7058823027681678,0.576271186440678,3.826434742281361,0.1899999981,1.7058823027681678,1.5,0,0.5862068864447089,880.1587732098133
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,562.4369764527329,590.5588252753696,0.1470588192041524,6.799998640000272,0.14285714285714285,3.700243241792695,0.2599999974,6.799998640000272,1.5,1,0.1470588192041524,1417.3410659237666
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,216.8024750869831,227.64259884133224,0.6714285618367348,1.4893616704391135,0.6619718309859155,4.090612660308876,0.029999999700000005,1.4893616704391135,1.5,0,0.6714285618367348,373.63830709810713
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,120.09069016935676,126.0952246778246,0.47058822606689754,2.124999911458337,0.46153846153846156,7.505667666480568,0.24999999750000004,2.124999911458337,1.5,0,0.47058822606689754,218.41494115056315
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,221.1576532597614,232.21553592274947,0.6363636291322315,1.5714285433673476,0.6292134831460674,3.6859608262300094,0.10999999890000002,1.5714285433673476,1.0,0,0.6363636291322315,255.91099815141416
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,492.7012709061221,517.3363344514282,0.3199999872000005,3.124999609375049,0.3076923076923077,4.071911296150502,0.8299999917,3.124999609375049,1.0,1,0.3199999872000005,646.6703988181443
